"","Theiler.stage","N","total.protein","sd","se","ci"
"1","TS14",7,161.592714285714,256.853558646241,97.0815199342712,237.549921654335
"2","TS15",4,102.7185,154.188075644649,77.0940378223245,245.347635827059
